Caption,Likes,URL
"Read the full story at the link in bio.

The uncrewed mission, known as Artemis I, is a critical step in NASA’s campaign to return humans to the moon for the first time in more than 50 years.

Photograph by Dan Winters, National Geographic",33689,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315664892_1342043793297777_1021755392578078532_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=8w-s-fqciV4AX928KSj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3Mjg2MDQ1NTk0MDU1ODM2NQ%3D%3D.2-ccb7-5&oh=00_AfAqruwBMTlQvwzwuGz9mQud8JzSZXpA45fNDiXVn0l1NA&oe=637A20EB&_nc_sid=30a2ef
"Photo by @javier_aznar_photography | Sachatamia ilex is a glass frog with impressive, beautiful eyes. I observed a few individuals during my last visit to the Ecuadorian Chocó. Parental care is rare with this species, as with other glass frogs, and during the night, they can be found in the vegetation close to streams and rivers. Thanks to nonprofits such as @fundacion.jocotoco, this region of Ecuador and the animals that inhabit it have a chance to survive. Follow @javier_aznar_photography to see more weird-looking animals. #ecuador #frog #glassfrog #amphibians",109069,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315862224_848650229623156_7043509909389895816_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=lNiC7-Gfv94AX_gQQaI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3Mjc4NDk2NDA1NjA3ODEyMQ%3D%3D.2-ccb7-5&oh=00_AfDD6NXhF5r7ptEXGIuTXLYa3SOddTWNqQYCB9Qli9dRRQ&oe=63796E63&_nc_sid=30a2ef
"Read more at the link in bio.

The Artemis I mission lifts off from NASA’s Kennedy Space Center, sending a new spacecraft on an uncrewed test flight to the moon. After false starts and weather delays, NASA’s most powerful rocket ever successfully lifted off. Video by @danwintersphoto 
#Artemis I",63114,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315556886_144673958039852_8785150843328562299_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=DEwAUY3md_EAX_C3orq&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBfqp7JTuzLHaSkQapScZ8qlEqipX3NNx8aKbznKJOBiw&oe=63770D29&_nc_sid=8fd12b
"Photo by @williamodaniels | In a gold mine in the Russian Far East, a leaky pipe created this frozen waterfall of muddy water, dusted with fresh snow. I took this photograph in 2015 for ""Train for the Forgotten,"" a National Geographic story on remote places along the Baikal-Amur Magistral (BAM) railway, which crosses Siberia and the east for more than 4,000 kilometers (2,500 mi). Follow me on @williamodaniels for more stories.",67298,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315434357_212146077809708_7719090576741393289_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=aAY0ggN3oD4AX81TuXF&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MjM2MjIwMDg2Mjk3MjYzMg%3D%3D.2-ccb7-5&oh=00_AfBvz0ykoYVgBmGXIttSaxb0zvV0eve82z9eK-B3LbRSRQ&oe=637AB15F&_nc_sid=30a2ef
"Photo by @joelsartore | Lorises, like this greater slow loris, are the only existing venomous primate species in the world. Their venom is produced when secretions from a gland on their elbow mix with their saliva, which is then delivered into the bloodstream of their victims by razor-sharp teeth. The potent mixture, a form of protection against parasites and predators, can cause swelling, anaphylactic shock, and in some cases even death. Photo taken @mnzoo. To see more species featured in the Photo Ark, follow me @joelsartore. #loris #slowloris #great #animal #mammal #venomous #primate #nocturnal #vulnerable #PhotoArk",123706,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315459780_879601226725854_2835617032790896064_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=65meDpsWhCIAX-h-oqN&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MjI3MTU4NTg0MDMzOTE0Mw%3D%3D.2-ccb7-5&oh=00_AfD8gxQWWpZXo1OPFM92ABH9_idRtiL84lWsNLAnBsvwqQ&oe=637930AB&_nc_sid=30a2ef
"View the full list at the link in our bio.

Out of more than 2.2 million photos taken on assignment, 49 were selected as National Geographic’s Pictures of the Year.

Photograph by Arturo Rodríguez | Canary Islands, Spain. Armando Salazar, an emergency specialist in the Spanish military, steps across sizzling rock and carries a chunk of glowing lava on a pitchfork as he collects samples during a 2021 eruption at La Palma’s Cumbre Vieja volcanic ridge.",97037,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315437543_467868062130217_5952583607675148724_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=g3ai34CquM8AX-WEmmt&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MjE1ODMzMTcxMzU5MzM3OA%3D%3D.2-ccb7-5&oh=00_AfALVKCiykrO1HUvWomdO6RVKc_AdCpZdEzh1cyZTeMZkg&oe=63795600&_nc_sid=30a2ef
"Read the full story at the link in bio. 

We’ve added a billion people in just 12 years. The implications for the planet—and our own welfare—hinge on how we tackle climate change.

Photograph by Manjunath Kiran, AFP, Getty",513699,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315435378_705854447634724_1779817594155654743_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=ls6pEAhtubUAX-2d5Pi&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MTY2NzYwMzU5ODMyNjE2OQ%3D%3D.2-ccb7-5&oh=00_AfA_2xWk0zxTQTsGjZ3RlezHL48HFWz7tx8v_3MNY0dttw&oe=6379A925&_nc_sid=30a2ef
"Read the full story at the link in bio.

In the Arizona desert, NASA prepares for walking on the moon. Astronauts in spacesuits navigated a lava-covered landscape to test the tools and procedures needed for real lunar missions.

Video by @danwintersphoto and @beckythale",42965,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315308376_1278285069626877_535793702117743985_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=0w3hn-PiJFAAX_kRitO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB2OQhlWdcKOKvxqI2Sy3q2Mv1yt4C9dU8La-VmtZSEvg&oe=63768BB5&_nc_sid=8fd12b
"National Geographic Photographer and Explorer Anand Varma joins chef Melissa King to uncover incredible ingredients hidden along Washington’s Olympic Coastline. #TastingWild // The #MazdaCX50 is purpose-built to connect you with nature. After all, it’s on unpaved dirt and gravel paths where our sense of wonder comes alive. The first-ever Mazda CX-50. We’re more human in nature.",36650,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315324862_452412630380303_2689674680299649109_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=xJqClZIV3gEAX8fY2dQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCBthr1vtJa7pQHVT1x_CVxgGzsOXWiFnpvVClLzpuhZg&oe=637703CB&_nc_sid=8fd12b
"Video by @bertiegregory | Chinstrap penguins leap from the water to rest on an iceberg—with mixed success. Filmed for “Epic Adventures With Bertie Gregory,” now streaming on @disneyplus. #EpicAdventures #EpicAdventuresWithBertieGregory",123934,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315608479_582508013681343_3053464754487719702_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=f9eq6WKr8f4AX-VVgRj&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBn3hlBI5NRBJFlk4n5c5Ud4E4z5MgTFbw40EDPdqEgKA&oe=6376D2CB&_nc_sid=8fd12b
"Photo by Orsolya Haarberg @fjellheimengalleri | Shadows in the sky, clouds drift above Norway's Svartisen ice cap. Follow @fjellheimengalleri for more.
#norway #landscapephotography #svartisen #blue #icecap",78046,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315755310_5738439692861948_4144886399860254069_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=bz7Hlt_K3SIAX9wke74&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk3MTM4MDcwMTc2MjYwMjY3NA%3D%3D.2-ccb7-5&oh=00_AfDLhDv9mvIP8d6CXDaJW6xRvvQ93bJY79nGoCe6orMS_w&oe=637B0D1B&_nc_sid=8fd12b
"Photo by @amivitale | Lekupania is a Samburu animal whisperer, who cares for a host of species like elephants, gerenuks, kudo, warthogs, and so many more. Here, he reaches up to feed two orphaned giraffes in his care at the Reteti Elephant Sanctuary (@r.e.s.c.u.e). While known for its work with elephants, @r.e.s.c.u.e also helps care for other animals. I'm celebrating Reteti's 6th anniversary with Lekupania and the rest of the team this month. Follow @amivitale to learn more, including how to help. #giraffe #conservation #kenya #africa #babyanimals",173742,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315642604_874852690172453_1948615964947518937_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=TSYSaPKR6T0AX9X6PZs&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MDg4MjQzMjUwNjY2NTM4Nw%3D%3D.2-ccb7-5&oh=00_AfCkGcPEk6IQlTsUW1FuTWZ4FL8FrJuI_M9nDvjhvXTHHg&oe=637A17D0&_nc_sid=30a2ef
"Photo by @iantehphotography | The trip was a grand adventure: a rickety train ride from Hanoi toward Lao Cai, near the China border, then a drive up into the picturesque paddy fields in Sapa, where I met up with farmers for a final trek into  cardamom plantations grown under the rainforest canopy. It was also a lesson in Vietnam’s recent environmental history: Black cardamom, thao qua, an essential spice in pho and other Vietnamese dishes, was first planted in the Hoang Lien Mountains in the 1990s as a replacement for opium, a banned crop that once helped prop up Indochina’s colonial economy. The area, known as Hoang Lien National Park, is a symbol of postwar Vietnam’s efforts to protect plant biodiversity. Hence this puzzle: How could a forest simultaneously be a haven for conservation and agricultural cash crop?

Over a few days of camping in the forest, we observe farmers harvesting cherry red pods of raw cardamom with machetes beside a stream. In the afternoons, they smoked the refrigerator-size piles under fire till they turned coffee brown, significantly reducing their weight for the hike back. On our return, we stop at this spot revealing a set of lush green peaks before we dip down into thick vegetation for the remainder of our walk home. Follow me on @iantehphotography to see more images and stories from around the world. 
#HoangLienMountains #Vietnam #BlackCardamom",94916,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315131479_685889379517926_7128233359969722263_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=Uv2SlvLSdSQAX-Zt5Od&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MDczMTQyNDcwMjg1OTk3MQ%3D%3D.2-ccb7-5&oh=00_AfDsuT3X14VJzyor_E1sVbRrKyQJ0pIxM_-G-iRjyP6coA&oe=637A7CBE&_nc_sid=30a2ef
"Photo by @gabrielegalimbertiphoto and Juri de Luca | Fossils of 
long-extinct creatures aren’t just for museums—they’re in homes and businesses, as wealthy collectors indulge a controversial hobby. At the Hanging Gardens of Marqueyssac in France, communications officer Stéphanie Angleys cleans the display case of a 150-million-year-old allosaurus. Owned by French businessman Kléber Rossillon, the gardens are open to the public. Rossillon acquired the dinosaur—whose skull is among the best preserved in the world—in 2016, a few years after it was found in Wyoming (U.S.). Follow me @gabrielegalimbertiphoto for more stories. #dinosaur #fossil #extinct #dinosaurskull",92939,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315554570_532168748835837_6571053036739265817_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=Y-X3Pf76UNcAX_gLJFc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MDY1NTk1MjEwMzI2OTUwNQ%3D%3D.2-ccb7-5&oh=00_AfBfRlOcUvyZyB9NmqjdUWzFG84mB4c76Cv6WGb14ItS8A&oe=637AE429&_nc_sid=30a2ef
"Photos by Corey Arnold @arni_coraldo | Learning to camera-trap wildlife, especially in urban settings, takes a lot of practice and luck. One of the toughest variables is predicting where the animal you are trying to photograph will travel within a frame, and this fence hole in Chicago narrowed my options for success. A parade of animals passed through here every night to access an underpass beneath a busy highway that connected two large green spaces. I was surprised to see one house cat show up almost every night, sometimes minutes before a coyote passed through. One night, while quietly adjusting the camera, I was nearly run over by a coyote running full speed through the hole, not knowing I was there until the last minute. Check out the feature “Why Cities Are Going Wild” in the July issue of National Geographic. @christinedellamore #urbanwildlife #coyote #deer #raccoon",320745,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315219507_831731848070655_1688129115198788532_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=leWl0buQLV4AX-sgNL0&tn=ENLIY31XeBTMqW_2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB5zZqFA_RLVFIk7Fc-ZAtVO5545JvQlaHklq-bvg_Mcw&oe=6379C8F6&_nc_sid=86f79a
"Photo by @moisessaman | Shadad al Ali, the director of the Dhamar Museum in southwestern Yemen, stands among its ruins. He recalls arriving in the aftermath of the destruction and digging through the rubble with his bare hands. Destroyed in an air strike by the Saudi Arabian-led coalition in May 2015, the museum contained more than 12,000 archaeological objects, representing the history of an ancient center of Arab and Islamic culture.",66463,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315006496_548256040447251_5081453246947547484_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=7MsjsDv2f8UAX_Nhp91&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MDAwNjY3MzI4NTU3MzQwOA%3D%3D.2-ccb7-5&oh=00_AfDV5GPvE6-ghCxf1nBMTbHu6Z8PHFmUbcwgJWtVLiL9Og&oe=6379BCE0&_nc_sid=30a2ef
"Photo by Robbie Shone @shonephoto | During an expedition to Borneo's Gunung Mulu National Park in 2018, I traveled with a team that spent a week on the banks of the Melinau River, at Camp 5—a small, wooden structure nestled in the gorge between two massifs, Mount Benarat (pictured) and Mount Api. The base offered the team a starting point to access nearby caves, where the scientists had several sampling sites. At the end of each long and tiring day, it was an amazing feeling to relax while gazing up at the white cliffs of limestone—which reveal several cave entrances. I had climbed to them, exploring the maze of passages inside the mountain, on previous expeditions some 10 years ago.",91007,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/315017691_1197429954143445_6319558424138438463_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MMMC1XIBodcAX_jjlAu&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTkzMTE0OTExMjc0NjQ0OQ%3D%3D.2-ccb7-5&oh=00_AfCb-cypH7qrdRdl5LfHid60Vq4IhCxvVyGzOQCixEoIzA&oe=637AC537&_nc_sid=30a2ef
"Over the past two months, a team of archaeologists and forensic scientists has worked diligently to excavate and exhume 14 Revolutionary War soldiers at the Battle of Camden site in South Carolina. Based on preliminary field examinations, the team believes that 12 bodies are Patriot Continental soldiers from either Maryland or Delaware, one is likely a North Carolina Loyalist, and one served with the British 71st Regiment of Foot (Fraser’s Highlanders). 

“This is a rare opportunity to examine and analyze a large sample of Revolutionary War soldiers to get information about their health and diet, age, gender, and compare the forensic data to the historic record,” said Steven D. Smith, research professor at the South Carolina Institute of Archaeology and Anthropology.

Video by National Geographic Explorer Mac Stone @macstonephoto",595338,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/314932119_3333327813590561_254220051740446505_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=iG264fAkntYAX_hynuZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFE4yXCTufcnv2QPqTttYvRH0vG91saLGhqwy99DEo5g&oe=6376E003&_nc_sid=86f79a
"Read the full story at the link in bio. 

Only three weeks old when her father was shot down over Germany, Sharon Estill Taylor devoted decades of detective work to learning his fate.

Photograph courtesy of The National WWII Museum",135065,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/314725033_822370502149816_4269199367823722222_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Hg0-Y_01_UsAX-BfbeK&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTI4MTg3Mzk0ODc0OTcxNw%3D%3D.2-ccb7-5&oh=00_AfDKAI75wLCA_g7D1dws6P1-QGqnF0kuLNDuEwYOKDulzw&oe=63792492&_nc_sid=30a2ef
"Photos by @erintrieb | The years I spent embedded with the U.S. military in Afghanistan are ones I can never forget. Throughout 2009-2011 I embedded for months at a time with both the U.S. Army and Marines. Gunfire and IED (improvised explosive device) attacks occurred daily, often taking life or limb. We collectively knew that every step we took through the Kandahar desert might be our last. Today and every day I remember the brave young service members, now veterans, who allowed me to document their most harrowing and intimate moments in war.
These images were taken in October 2010, in Kandahar Province's Zhari District.
 
Image 1: Sgt. Andrew Collins (center) and Sgt Dustin Hennigar of the 101st Airborne Division take a cigarette break. 2: Marine K-9 handler Zachary Miller, left, attached to the 502nd Infantry Regiment of the 101st Airborne Division, settles down for the night in an abandoned compound during Operation Clarksville.
Images 3 and 4: 101st Airborne soldiers at dawn before a mission, and resting while on a foot patrol. 5: PFC Matthew Sharpe, 19 (Alpha Company, 2nd Battalion/502nd Infantry Regiment, 101st Airborne Division), receives medical treatment after two IEDs exploded during Operation Clarksville. 6: Military medics aid PFC James Thorne, 19, was injured after stepping on a pressure plate IED. Final: A chinook takes flight as soldiers from the 2-502 Infantry Regiment, 101st Airborne Division prepare a dawn mission.

Follow me @erintrieb for more stories on the U.S. military in Afghanistan.",140871,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/314930572_5534704153231298_8549046023618728723_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=2rQ_Sg_2vz0AX-gnuJ4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAuWSQXp1vzjL5mGzU4BV8nqm1TSEDtlUozBQaKodc08A&oe=637974BF&_nc_sid=86f79a
